club,sofifa_id,short_name,age,dob,height_cm,weight_kg
FC Barcelona,158023,L. Messi,32,1987-06-24,170,72
Juventus,20801,Cristiano Ronaldo,34,1985-02-05,187,83
Paris Saint-Germain,190871,Neymar Jr,27,1992-02-05,175,68
Atlético Madrid,200389,J. Oblak,26,1993-01-07,188,87
Real Madrid,183277,E. Hazard,28,1991-01-07,175,74
Manchester City,192985,K. De Bruyne,28,1991-06-28,181,70
FC Barcelona,192448,M. ter Stegen,27,1992-04-30,187,85
Liverpool,203376,V. van Dijk,27,1991-07-08,193,92
Real Madrid,177003,L. Modrić,33,1985-09-09,172,66
Liverpool,209331,M. Salah,27,1992-06-15,175,71
Paris Saint-Germain,231747,K. Mbappé,20,1998-12-20,178,73
Napoli,201024,K. Koulibaly,28,1991-06-20,187,89
Tottenham Hotspur,202126,H. Kane,25,1993-07-28,188,89
Liverpool,212831,Alisson,26,1992-10-02,191,91
Manchester United,193080,De Gea,28,1990-11-07,192,82
Chelsea,215914,N. Kanté,28,1991-03-29,168,72
Juventus,138956,G. Chiellini,34,1984-08-14,187,85
Manchester City,153079,S. Agüero,31,1988-06-02,173,70
Real Madrid,155862,Sergio Ramos,33,1986-03-30,184,82
FC Barcelona,176580,L. Suárez,32,1987-01-24,182,86
FC Bayern München,188545,R. Lewandowski,30,1988-08-21,184,80
FC Barcelona,189511,Sergio Busquets,30,1988-07-16,189,76
FC Barcelona,194765,A. Griezmann,28,1991-03-21,176,73
Juventus,211110,P. Dybala,25,1993-11-15,177,75
Manchester United,195864,P. Pogba,26,1993-03-15,191,84
Manchester City,210257,Ederson,25,1993-08-17,188,86
Manchester City,202652,R. Sterling,24,1994-12-08,170,69
Tottenham Hotspur,190460,C. Eriksen,27,1992-02-14,181,76
Real Madrid,192119,T. Courtois,27,1992-05-11,199,96
FC Barcelona,152729,Piqué,32,1987-02-02,194,85
Inter,162835,S. Handanovič,34,1984-07-14,193,92
FC Bayern München,167495,M. Neuer,33,1986-03-27,193,92
Tottenham Hotspur,167948,H. Lloris,32,1986-12-26,188,82
Manchester City,168542,David Silva,33,1986-01-08,173,67
Paris Saint-Germain,179813,E. Cavani,32,1987-02-14,185,77
Inter,182493,D. Godín,33,1986-02-16,187,78
Real Madrid,182521,T. Kroos,29,1990-01-04,183,76
Borussia Dortmund,188350,M. Reus,30,1989-05-31,180,71
Arsenal,188567,P. Aubameyang,30,1989-06-18,187,80
Liverpool,208722,S. Mané,27,1992-04-10,175,69
Manchester City,212218,A. Laporte,25,1994-05-27,189,85
Manchester City,218667,Bernardo Silva,24,1994-08-10,173,64
Real Madrid,200145,Casemiro,27,1992-02-23,185,84
Tottenham Hotspur,200104,H. Son,26,1992-07-08,183,78
Manchester City,135507,Fernandinho,34,1985-05-04,179,67
Paris Saint-Germain,164240,Thiago Silva,34,1984-09-22,183,82
Real Madrid,165153,K. Benzema,31,1987-12-19,185,81
Tottenham Hotspur,172871,J. Vertonghen,32,1987-04-24,189,86
Napoli,175943,D. Mertens,32,1987-05-06,169,61
Borussia Dortmund,178603,M. Hummels,30,1988-12-16,191,94
Tottenham Hotspur,184087,T. Alderweireld,30,1989-03-02,186,81
FC Barcelona,189332,Jordi Alba,30,1989-03-21,170,68
FC Bayern München,189509,Thiago,28,1991-04-11,174,70
Real Madrid,193041,K. Navas,32,1986-12-15,185,80
Napoli,198219,L. Insigne,28,1991-06-04,163,59
Manchester City,222492,L. Sané,23,1996-01-11,183,75
Paris Saint-Germain,207865,Marquinhos,25,1994-05-14,183,75
Inter,232363,M. Škriniar,24,1995-02-11,187,80
Paris Saint-Germain,199556,M. Verratti,26,1992-11-05,165,60
FC Barcelona,205600,S. Umtiti,25,1993-11-14,182,75
Juventus,186153,W. Szczęsny,29,1990-04-18,195,90
FC Bayern München,212622,J. Kimmich,24,1995-02-08,176,73
Real Madrid,197781,Isco,27,1992-04-21,176,79
Liverpool,201942,Roberto Firmino,27,1991-10-02,181,76
FC Barcelona,168651,I. Rakitić,31,1988-03-10,184,78
Juventus,180206,M. Pjanić,29,1990-04-02,178,72
Paris Saint-Germain,183898,A. Di María,31,1988-02-14,180,69
Juventus,184344,L. Bonucci,32,1987-05-01,190,85
FC Bayern München,189242,Coutinho,27,1992-06-12,172,68
Valencia CF,189513,Parejo,30,1989-04-16,182,74
FC Bayern München,189596,T. Müller,29,1989-09-13,186,75
Lazio,192387,C. Immobile,29,1990-02-20,185,85
Arsenal,193301,A. Lacazette,28,1991-05-28,175,73
Juventus,235243,M. de Ligt,19,1999-08-12,189,89
Milan,230621,G. Donnarumma,20,1999-02-25,196,90
FC Barcelona,228702,F. de Jong,22,1997-05-12,180,74
Real Madrid,201535,R. Varane,26,1993-04-25,191,81
FC Bayern München,212190,N. Süle,23,1995-09-03,195,97
Lazio,223848,S. Milinković-Savić,24,1995-02-27,191,76
Manchester City,231866,Rodri,23,1996-06-22,191,82
